gene_id	gene_name	.T0.s1	.T0.s2	.T0.s3	.T96.s4	.T96.s5	.T96.s6
ENSG00000005075	POLR2J	11.159	3.419	14.505	5.525	8.41	11.077
ENSG00000005100	DHX33	149.215	157.747	166.972	103.828	115.499	128.258
ENSG00000005102	MEOX1	5	10	1	10	6	7
ENSG00000005108	THSD7A	448.631	503.396	457.1	598.751	632.294	621.671
ENSG00000005156	LIG3	178.001	230.481	190.005	154.506	126.003	136.091
ENSG00000005175	RPAP3	36.001	60	29	44	28	36
ENSG00000005187	ACSM3	11	18	19	19.139	19	20
ENSG00000005189	REXO5	32.669	8.999	2.453	59.988	14.878	23.842
ENSG00000005194	CIAPIN1	75.616	101.975	80.567	32.753	92.45	72.67
ENSG00000005206	SPPL2B	26.308	37.744	68.547	68.814	24.168	24.287
ENSG00000005238	ATOSB	56	68.993	26	71.951	69.871	66.01
ENSG00000005243	COPZ2	30.744	32	41	31	30	38
ENSG00000005249	PRKAR2B	438	481.999	404	333.225	351	343
ENSG00000005302	MSL3	158.513	187.706	181.001	165.214	142	142.681
ENSG00000005339	CREBBP	2076.268	2434.573	2110.335	1806.152	1549.342	1632.478
ENSG00000005379	TSPOAP1	111.271	153.74	111.879	288.645	98.775	105.559
ENSG00000005381	MPO	13	8.314	11	291.972	5.839	7.25
ENSG00000005421	PON1	2	5	8	77.76	1	7
ENSG00000005436	GCFC2	17.001	11	6.477	23.917	17	6.112
ENSG00000005448	WDR54	40.517	64.336	43.982	57.841	53.244	73.564
ENSG00000005469	CROT	67	70	40	86.06	80	108
ENSG00000005471	ABCB4	43.272	54.681	31.509	38.712	31.3	62.126
ENSG00000005483	KMT2E	620.875	866.856	622.676	350.727	468.001	476.998
ENSG00000005486	RHBDD2	84.91	119.882	71.519	85.972	76.001	71.994
ENSG00000005513	SOX8	141.551	180.809	152.563	91.643	88.999	103.406
ENSG00000005700	IBTK	232	261	162.998	234	234.001	244.876
ENSG00000005801	ZNF195	35.88	29.994	14.854	34.805	21.176	39.772
ENSG00000005810	MYCBP2	1144.276	1399.595	1137.379	1206.94	1217.766	1246.998
ENSG00000005812	FBXL3	69	74.002	45	74.635	47.706	45
ENSG00000005844	ITGAL	29.999	38.872	27.999	105.925	26.002	29
ENSG00000005882	PDK2	33	31	12.999	32	29.062	23.999
ENSG00000005884	ITGA3	287.001	331.472	240	239.98	291.052	289
ENSG00000005889	ZFX	442.541	519.642	421.007	265.383	266.247	236.827
ENSG00000005893	LAMP2	134.548	179.317	100.291	173.345	151.675	159.664
ENSG00000005961	ITGA2B	13	25.091	17	284.093	41.198	29.213
ENSG00000005981	ASB4	3	3	2	2	8.517	6
ENSG00000006007	GDE1	128	131.571	105	101.311	76	82.999
ENSG00000006015	REX1BD	91	88	44	84.002	69.999	81.001
ENSG00000006016	CRLF1	4	11.668	10	22.138	14.586	22.345
ENSG00000006025	OSBPL7	36.999	35.363	46.137	30.375	29.999	43
ENSG00000006042	TMEM98	6.245	4.614	4.597	19.061	11.262	4.934
ENSG00000006047	YBX2	19	21.999	20.596	42.406	24	28
ENSG00000006059	KRT33A	0	8.517	1.681	0	0	1.569
ENSG00000006062	MAP3K14	58.267	99.494	70.719	100.129	122.718	104.323
ENSG00000006071	ABCC8	129.005	147.863	172.543	192.24	238.3	157.131
ENSG00000006116	CACNG3	204	285	239	254.088	267	294
ENSG00000006118	TMEM132A	443	585.001	482.234	285.127	288.529	289.78
ENSG00000006125	AP2B1	747.586	896.26	704.992	392.932	500.912	466.214
ENSG00000006128	TAC1	10.768	15.996	21.999	9	18	12
ENSG00000006194	ZNF263	89.52	108.121	75.833	113.872	116.069	142.077
ENSG00000006210	CX3CL1	45.039	29.454	57	48.69	37.08	19
ENSG00000006282	SPATA20	31.153	33.289	34	26.489	24.055	20.049
ENSG00000006283	CACNA1G	134.386	115.825	90.11	136.949	89.559	96.703
ENSG00000006327	TNFRSF12A	46	61	23	29.984	16.845	30
ENSG00000006377	DLX6	34.375	39.819	18.193	68.855	56.862	47.405
ENSG00000006432	MAP3K9	106.951	149	102.576	175.367	170.292	118
ENSG00000006451	RALA	269.526	342.621	315.091	202.352	230.613	268.315
ENSG00000006453	BAIAP2L1	665.934	782.333	642.184	718.801	779.001	909.85
ENSG00000006459	KDM7A	372	457	374	595	578	548
ENSG00000006468	ETV1	365	391	345	174	144	183
ENSG00000006530	AGK	74.311	48.184	42.451	52.241	49.277	62.508
ENSG00000006534	ALDH3B1	34.403	49.167	24	56.535	30	32.908
ENSG00000006555	TTC22	15	14	31	28.894	16	19
ENSG00000006576	PHTF2	248.001	370.378	277.999	138.041	151	124.18
ENSG00000006606	CCL26	2	1	1	0	2	1
ENSG00000006607	FARP2	79.999	81.001	103.995	77.073	67.577	46.436
ENSG00000006611	USH1C	16	32.001	22	26.999	38	33
ENSG00000006625	GGCT	0	3.355	6.351	5	12.029	4
ENSG00000006634	DBF4	115.241	153.795	115.835	108.711	139.585	154.857
ENSG00000006638	TBXA2R	7	20.143	15.313	79.878	89.704	48.662
ENSG00000006652	IFRD1	184.487	199.089	425.678	172.092	98.287	261.856
ENSG00000006659	LGALS14	0	0	1	6.57	0	1
ENSG00000006695	COX10	30	42.1	38.01	46.705	21	25.411
ENSG00000006704	GTF2IRD1	176.923	229.908	182.12	173.994	157	160.991
ENSG00000006712	PAF1	316	406	317.999	258.907	214	235.7
ENSG00000006715	VPS41	312	346	251	226.001	308.999	263.726
ENSG00000006740	ARHGAP44	48	42.565	64.309	49.963	44.223	37.647
ENSG00000006744	ELAC2	152.991	181.663	147.981	74.669	146.423	128.75
ENSG00000006747	SCIN	27.936	43	29.972	37.759	41	34.191
ENSG00000006756	ARSD	11.402	20.592	29.619	37.667	16.918	29.408
ENSG00000006757	PNPLA4	1	3	3	13.771	2	2
ENSG00000006788	MYH13	49.842	83.007	52.451	42.487	45.194	45.695
ENSG00000006831	ADIPOR2	220.999	319.661	260	208.351	225.045	292
ENSG00000006837	CDKL3	4.623	10.538	6	4.981	3.288	7.288
ENSG00000007001	UPP2	2	7	4.426	4.533	5	6.29
ENSG00000007038	PRSS21	3	1	2	12	2.733	0
ENSG00000007047	MARK4	97.85	136.321	69.952	90.148	104.995	117.607
ENSG00000007062	PROM1	113.034	243.409	109.017	144.358	246.2	172.209
ENSG00000007080	CCDC124	601.001	845.894	714	280	267.602	335.008
ENSG00000007129	CEACAM21	1	2	1	138.295	5	1
ENSG00000007168	PAFAH1B1	1660.13	2201.956	1693.476	984.054	1059.919	1157.72
ENSG00000007171	NOS2	34.085	67.641	38	50.03	46.936	55.25
ENSG00000007174	DNAH9	60.673	69.477	69	110.167	59.321	62.537
ENSG00000007202	BLTP2	962.384	1219.017	991	762.002	754.073	723.999
ENSG00000007216	SLC13A2	458	727	386	603.399	914	700
ENSG00000007237	GAS7	10	24	18	38.981	15.361	18
ENSG00000007255	TRAPPC6A	5	4	6	15	2	7
ENSG00000007264	MATK	13	12.887	3	911.47	17.049	10.011
ENSG00000007306	CEACAM7	16	15	10	15	8	8.443
ENSG00000007312	CD79B	1	1.988	0	1.008	5	9.002
ENSG00000007314	SCN4A	27.133	27.651	26.553	43.98	29.097	17.185
ENSG00000007341	ST7L	163.029	150.439	108.056	110	123.947	85
ENSG00000007350	TKTL1	0	10	15	24.835	11.999	3
ENSG00000007372	PAX6	71.999	129.733	83.269	573.098	114.809	149.697
ENSG00000007376	RPUSD1	27.001	25.993	17.126	29.723	25	37.999
ENSG00000007384	RHBDF1	94.502	130.123	112.186	280.043	74.033	75.119
ENSG00000007392	LUC7L	281.999	387.821	356	321.308	278.002	308.001
ENSG00000007402	CACNA2D2	22.846	40.949	23	42.681	24	15
ENSG00000007516	BAIAP3	22	35	38	46.968	35.001	25.999
ENSG00000007520	TSR3	14	20	8	9.032	7	17
ENSG00000007541	PIGQ	121.988	137.999	91.371	126.577	83.797	105
ENSG00000007545	CRAMP1	179.189	273.997	168.994	413.581	203.177	178.835
ENSG00000007866	TEAD3	8.002	13	21.001	75.97	22	16
ENSG00000007908	SELE	11	9.019	6	8	15	4
ENSG00000007923	DNAJC11	457.999	601.002	460	267.215	297.999	361.304
ENSG00000007933	FMO3	13.004	14	24	26	28	35.2
ENSG00000007944	MYLIP	91.58	84	74.415	96.585	87.389	58.195
ENSG00000007952	NOX1	0	2	0	7.033	4	1
ENSG00000007968	E2F2	298	323	299	176.118	188.082	203.998
ENSG00000008018	PSMB1	463	590	448.989	343.042	389	453
ENSG00000008056	SYN1	231.137	327.999	241.001	250.634	275.271	299
ENSG00000008083	JARID2	1300.809	1672.955	1327.267	1185.976	1264.998	1311
ENSG00000008086	CDKL5	424.001	373	357.896	224.293	217.053	238.081
ENSG00000008118	CAMK1G	12	18.001	9	11	22.998	13
ENSG00000008128	CDK11A	152.516	121.05	82.518	108.903	114.139	126.187
ENSG00000008130	NADK	336.997	397.894	380	210.199	247.998	247.674
ENSG00000008196	TFAP2B	41.013	47.069	69.105	50.111	48.056	44.01
ENSG00000008197	TFAP2D	17	16	17	7	15	13.001
ENSG00000008226	DLEC1	25.025	22.038	23.374	145.435	19	8.999
ENSG00000008256	CYTH3	323.998	362.971	290.334	262.712	261	333
ENSG00000008277	ADAM22	91.575	122.178	88.572	113.977	122.046	118.899
ENSG00000008282	SYPL1	23.962	21.998	14.996	35	23	16.996
ENSG00000008283	CYB561	20	25.023	17.999	39	39.965	34.686
ENSG00000008294	SPAG9	568	708.048	578.781	506.734	518	585.005
ENSG00000008300	CELSR3	382.693	334.566	354.2	728.561	442.467	354.582
ENSG00000008311	AASS	19.031	19.999	23	19	18	8.986
ENSG00000008323	PLEKHG6	173.537	213.504	170.082	181.364	226.098	185.084
ENSG00000008324	SS18L2	9	27.012	7	29.018	24.011	25.466
ENSG00000008382	MPND	297.577	364.85	272	177.894	213.001	232.858
ENSG00000008394	MGST1	10	19	15	15	6	15
ENSG00000008405	CRY1	77.07	75.1	72.024	114.585	135.008	125.355
ENSG00000008438	PGLYRP1	0	2	0	2	3	1
ENSG00000008441	NFIX	187.068	188.062	134.999	183.402	122.853	120
ENSG00000008513	ST3GAL1	83.812	69.001	55.077	46.989	28.024	42.997
ENSG00000008516	MMP25	46	85.376	28.414	115.026	66.89	58.363
ENSG00000008517	IL32	11	6	9	25.835	3	4
ENSG00000008710	PKD1	172.301	220.074	210.114	547.949	242.806	181.936
ENSG00000008735	MAPK8IP2	330.902	442.935	392.434	389.504	354.483	390.813
ENSG00000008838	MED24	249.999	293.003	273.015	166.99	212.782	198.999
ENSG00000008853	RHOBTB2	250.751	242.001	199.14	234.649	249.007	210.036
ENSG00000008869	HEATR5B	137.247	119.999	127.082	95	165.329	128.407
ENSG00000008952	SEC62	1122.999	1525.999	1062	824.24	876	1069
ENSG00000008988	RPS20	979.461	1362.717	1103.964	1435.802	1643.178	1728.973
ENSG00000009307	CSDE1	5105.999	6237.999	4953.983	2841.982	3299	3697.638
ENSG00000009335	UBE3C	603.998	876.136	507.022	403.083	719.189	462
ENSG00000009413	REV3L	685.999	913.774	725.006	445.102	448.835	450.967
ENSG00000009694	TENM1	49.963	61.011	45.411	77.449	67.098	75
ENSG00000009709	PAX7	167.662	260.559	163.529	447.652	283.193	197.206
ENSG00000009724	MASP2	16	21	14	40.974	18.972	20
ENSG00000009765	IYD	36.184	41	30	61	63	45.702
ENSG00000009780	FAM76A	282.001	371	312.497	180.999	183.999	177.853
ENSG00000009790	TRAF3IP3	16	14	9	65.817	49	52.999
ENSG00000009830	POMT2	128.998	182.057	133	193.492	219.949	198.84
ENSG00000009844	VTA1	103	214.926	121	89.028	124	135
ENSG00000009950	MLXIPL	10.351	16.324	6	13.001	20.858	15
ENSG00000009954	BAZ1B	1840	2102.999	1796.657	799.623	810	970
ENSG00000010017	RANBP9	313	407.641	384	288.955	299.002	289
ENSG00000010030	ETV7	5	19	16	13.001	12	3
ENSG00000010072	SPRTN	129.101	97	106.999	144.817	76.999	70.029
ENSG00000010165	METTL13	129	213	185.869	132	150.994	144.997
ENSG00000010219	DYRK4	26	16	10.035	30.088	28.999	32
ENSG00000010244	ZNF207	1144.482	1300.319	1085.852	464.575	490.16	575.988
ENSG00000010256	UQCRC1	659.001	689	700	383.722	403	413.001
ENSG00000010270	STARD3NL	52	53.205	53.031	65.249	54	89
ENSG00000010278	CD9	620	852	709.161	768.808	836.089	779.914
ENSG00000010282	HHATL	310.156	428	309	317.913	625.97	430.987
ENSG00000010292	NCAPD2	398	481.979	430	264.954	291	281.926
ENSG00000010295	IFFO1	130	174.995	99	190.498	191.268	155
ENSG00000010310	GIPR	4	10	3	21.643	16.004	20
ENSG00000010318	PHF7	15	26	24.999	27.009	23	26.006
ENSG00000010319	SEMA3G	20	18.019	8	44.991	26.713	26
ENSG00000010322	NISCH	1561	1699	1605.001	1280	1303.999	1414.999
ENSG00000010327	STAB1	48	48.984	43	72.342	45.17	32.876
ENSG00000010361	FUZ	17	10.992	15	70.068	14	12.388
ENSG00000010379	SLC6A13	5	8	5	19.036	8	11
ENSG00000010404	IDS	52.753	85	41.796	10.595	30.903	36.853
ENSG00000010438	PRSS3	1	0	0	1	2.141	0
ENSG00000010539	ZNF200	230.002	263.731	224.711	247.082	256.445	360.101
ENSG00000010610	CD4	3	25	15.521	32.117	47.999	11
ENSG00000010626	LRRC23	10.012	14.192	9	7.102	15.649	15.021
ENSG00000010671	BTK	7	13	15	21	28	15.024
ENSG00000010704	HFE	32.999	11.999	30	115.988	29	28
ENSG00000010803	SCMH1	102.671	87.69	75.927	62.856	98.927	141.522
ENSG00000010810	FYN	259.005	312	272.999	737	788.752	817.999
ENSG00000010818	HIVEP2	272.999	252.224	277.001	297.129	321	256
ENSG00000010932	FMO1	3	1	4	2	4	3
ENSG00000011007	ELOA	403	452	390	215.001	235.498	264
ENSG00000011009	LYPLA2	308.369	442.229	322.105	171.191	208.732	212.953
ENSG00000011021	CLCN6	187.473	244.682	168.589	192.064	209.557	255.677
ENSG00000011028	MRC2	40.445	48.653	35.837	407.324	75.068	67.105
ENSG00000011052	NME1-NME2	118.575	103.298	152.683	44.973	114.25	70.949
ENSG00000011083	SLC6A7	25	20	16.478	47.412	20	29
ENSG00000011105	TSPAN9	41	43.979	30.036	52.32	28	35
ENSG00000011114	BTBD7	526	586	438.229	283.456	343.613	301.752
ENSG00000011132	APBA3	62.897	78.866	66.829	162.316	122.731	132.106
ENSG00000011143	MKS1	38.347	72.508	45.823	93.088	79.07	40.303
ENSG00000011198	ABHD5	137	166	145	154.014	158	150.001
ENSG00000011201	ANOS1	8.726	9.721	9.689	18.001	14.251	15
ENSG00000011243	AKAP8L	293.75	392.728	275.792	291.405	418.751	416.236
ENSG00000011258	MBTD1	158	176	125	145.042	160	170
ENSG00000011260	UTP18	155.984	185.984	124.847	71.421	76.462	80
ENSG00000011275	RNF216	365.221	437.01	340.003	627.505	281.014	325.421
ENSG00000011295	TTC19	69.257	98.41	78.64	375.357	79.447	71.621
ENSG00000011304	PTBP1	1466.581	1759.223	1465.232	965.244	707.675	720.312
ENSG00000011332	DPF1	277.402	341.934	203.07	274.938	262.927	289.178
ENSG00000011347	SYT7	153.461	218.401	150.009	711.244	544.971	610.493
ENSG00000011376	LARS2	33	60	55.001	51	26	40.008
ENSG00000011405	PIK3C2A	229.375	258	186.978	179.891	163	170
ENSG00000011422	PLAUR	10.02	27.999	13	18	20.001	22
ENSG00000011426	ANLN	475.998	627	439.001	252.999	280.977	283.999
ENSG00000011451	WIZ	581.092	551.163	511.988	587.148	476.024	541.913
ENSG00000011454	RABGAP1	814.038	955.001	755	641.86	731	793
ENSG00000011465	DCN	21	22.12	16.023	33.028	24.038	17.771
ENSG00000011478	QPCTL	7	9	5	10.037	7	4
ENSG00000011485	PPP5C	529.503	861.878	643.001	319.045	297.282	593.411
ENSG00000011523	CEP68	91.146	100.001	95.001	96.261	86	92.999
ENSG00000011566	MAP4K3	124.279	130.465	113.415	119.818	82.535	101.016
ENSG00000011590	ZBTB32	3	1	5	4	8	5.002
ENSG00000011600	TYROBP	4.2	13.388	9.599	14.801	23.879	7.112
ENSG00000011638	LDAF1	10	12.018	1	7	8	5.999
ENSG00000011677	GABRA3	0	3.239	0	25.199	0	10.189
ENSG00000012048	BRCA1	178	197	150.999	156	105	108.001
ENSG00000012061	ERCC1	13	18.001	22	30.68	24	29.001
ENSG00000012124	CD22	10	9	6	24	8	9
ENSG00000012171	SEMA3B	36.729	40.13	23.835	759.01	54.801	41.452
ENSG00000012174	MBTPS2	158.593	169.624	124.2	140.37	214.954	203.589
ENSG00000012211	PRICKLE3	6	14	9.006	16	27.828	21.719
ENSG00000012223	LTF	2	9	4	8	2.269	3
ENSG00000012232	EXTL3	218.716	305	247.441	149.113	156.101	126.099
ENSG00000012504	NR1H4	2	12	6	5	13	9
ENSG00000012660	ELOVL5	240	293.935	204.798	171.871	153	215
ENSG00000012779	ALOX5	20	11.072	6	39.354	14	5.018
ENSG00000012817	KDM5D	82.739	116.081	102.007	80.207	89.335	61.943
ENSG00000012822	CALCOCO1	70	107.999	65	174.954	149	146.001
ENSG00000012963	UBR7	210.239	238.234	190	148.855	155.884	184.764
ENSG00000012983	MAP4K5	69.919	63	72.283	36.33	35	36.999
ENSG00000013016	EHD3	80.693	75.783	78.54	136.225	96.22	84.885
ENSG00000013275	PSMC4	1204.001	1510	1148.999	601	608	737.001
ENSG00000013288	MAN2B2	79.149	73.292	46.467	98.193	73.75	92.551
ENSG00000013293	SLC7A14	393.32	602.458	453.138	496.802	592.095	571.916
ENSG00000013297	CLDN11	3	11	7	51	1.119	3
ENSG00000013306	SLC25A39	310.031	336.747	292.406	352.396	360.705	360.757
ENSG00000013364	MVP	274.99	376.604	263.001	247.867	219.048	219
ENSG00000013374	NUB1	135.999	177.999	146.001	137.701	119	114.001
ENSG00000013375	PGM3	69	90	96.001	110.002	66	86.001
ENSG00000013392	RWDD2A	2	17	3	182.322	2	6
ENSG00000013441	CLK1	106	108.667	116.001	115.007	218.223	219.097
ENSG00000013503	POLR3B	81.082	143.209	82.163	46.255	68.31	45.55
ENSG00000013523	ANGEL1	31.93	31.249	35	77.867	58.393	31.997
ENSG00000013561	RNF14	153.103	165.202	130.999	104.053	180.806	143.867
ENSG00000013563	DNASE1L1	39	31	24.982	35.242	65.029	59.91
ENSG00000013573	DDX11	65.032	120.038	67.935	56.461	60.196	83.511
ENSG00000013583	HEBP1	22	29	7	24.999	17	24
ENSG00000013588	GPRC5A	48	41.077	43.749	43.132	55.001	27.977
ENSG00000013619	MAMLD1	6.008	20	17	107.667	29.367	27.001
ENSG00000013725	CD6	18.231	15.231	6.039	30.607	9.179	10.957
ENSG00000013810	TACC3	156.032	203.918	168.138	482.022	250.081	167.983
ENSG00000014123	UFL1	59	91	72	89.958	88.158	108.993
ENSG00000014138	POLA2	79.003	97.24	82.508	63.444	43.77	44
ENSG00000014164	ZC3H3	65	66	60	60.364	43	53
ENSG00000014216	CAPN1	155.284	171.529	111.278	103.408	97.901	123.31
ENSG00000014257	ACP3	3	5	2	1	10	15
ENSG00000014641	MDH1	720.001	825.731	584	581.94	596.634	620.696
ENSG00000014824	SLC30A9	153.788	164	172	146.2	200	231
ENSG00000014914	MTMR11	15	15	10	29	12	15
ENSG00000014919	COX15	32.217	20.588	61.955	40.616	23	33.168
ENSG00000015133	CCDC88C	319.593	373.647	302.833	215.662	256.076	192.367
ENSG00000015153	YAF2	211	277.92	174.997	215.006	201	222
ENSG00000015171	ZMYND11	1236	1487.003	1150.001	864.999	975.65	967.999
ENSG00000015285	WAS	11	12.001	6	92.786	4	7
ENSG00000015413	DPEP1	14	41.67	28	496.408	26	19.999
ENSG00000015475	BID	21.916	28.871	8.382	14.238	14.769	15.71
ENSG00000015479	MATR3	942.508	1417.061	773.537	1088.713	766.789	932.253
ENSG00000015520	NPC1L1	19.566	8.356	10.597	23.024	28.618	20
ENSG00000015532	XYLT2	68.999	64	57.105	60.795	45	47.003
ENSG00000015568	RGPD5	33.827	42.921	54.643	31.769	43.88	30.677
ENSG00000015592	STMN4	49	59.999	65	116	108	129.001
ENSG00000015676	NUDCD3	740.163	795	577	440.594	221.999	445
ENSG00000016082	ISL1	755.787	923.667	600.37	491.015	570.984	492.845
ENSG00000016391	CHDH	32.078	22.147	18.105	33.677	21.502	20.602
ENSG00000016402	IL20RA	13	22	18	12.999	32	30
ENSG00000016490	CLCA1	2	4	0	12.559	4	0
ENSG00000016602	CLCA4	1	2	5	5	5	2
ENSG00000016864	GLT8D1	36.001	41	22	27	40	35.999
ENSG00000017260	ATP2C1	345.001	280.001	252	214	245.045	256
ENSG00000017427	IGF1	4.049	8.144	8	43.706	22	5.026
ENSG00000017483	SLC38A5	13.96	18	16	20.999	22	20.979
ENSG00000017797	RALBP1	897.547	1123.105	862.491	772.147	776.607	832.873
ENSG00000018189	RUFY3	460	610	405.253	365.679	394.445	378.995
ENSG00000018236	CNTN1	4	8.502	8	36	13.41	18.999
ENSG00000018280	SLC11A1	25.007	23	16	89.168	90.519	46
ENSG00000018408	WWTR1	289	361.73	369	149.159	165.999	149
ENSG00000018510	AGPS	483.001	514.001	431.999	430.375	278	322
ENSG00000018607	ZNF285CP	4.409	10.885	2.47	6.275	0	0
ENSG00000018610	STEEP1	27	41.756	18.891	19.529	15.263	19.465
ENSG00000018625	ATP1A2	213.13	379.555	227.544	293.129	434.682	348.74
ENSG00000018699	TTC27	45	33.999	42	38	28.001	57.001
ENSG00000018869	ZNF582	64.032	70.259	41.014	74.111	39.51	30.004
ENSG00000019102	VSIG2	2	10	0	5.375	7	6
ENSG00000019144	PHLDB1	579.491	646.686	519.769	371.446	287.328	434.555
ENSG00000019169	MARCO	4	7	6	36.755	8.43	7
ENSG00000019186	CYP24A1	14.191	8.429	2.041	12.125	11.765	6.058
ENSG00000019485	PRDM11	37.995	89.057	66.112	136.252	56.136	44.001
ENSG00000019505	SYT13	10	11.367	10.526	13.974	15.762	10.49
ENSG00000019549	SNAI2	15	7	4	22.001	11.999	7
ENSG00000019582	CD74	99.999	98	76	88	94	113
ENSG00000019991	HGF	24.438	11	15	27.081	4	13
ENSG00000019995	ZRANB1	177.591	288.222	193.054	151.716	121	142.449
